INFO 2024-10-07 18:58:35,702 autoreload Watching for file changes with StatReloader
DEBUG 2024-10-07 18:58:35,829 autoreload File /opt/anaconda3/lib/python3.12/bz2.py first seen with mtime 1718723590.4012203
DEBUG 2024-10-07 18:58:35,829 autoreload File /Users/karansrinivas/Desktop/ChatBot/BackEnd/env/lib/python3.12/site-packages/django/core/handlers/exception.py first seen with mtime 1728321044.5307
DEBUG 2024-10-07 18:58:35,829 autoreload File /opt/anaconda3/lib/python3.12/asyncio/base_subprocess.py first seen with mtime 1718723591.5741248
DEBUG 2024-10-07 18:58:35,829 autoreload File /Users/karansrinivas/Desktop/ChatBot/BackEnd/env/lib/python3.12/site-packages/django/test/utils.py first seen with mtime 1728321044.6181061
DEBUG 2024-10-07 18:58:35,829 autoreload File /opt/anaconda3/lib/python3.12/lib-dynload/_scproxy.cpython-312-darwin.so first seen with mtime 1718723628.4311888
DEBUG 2024-10-07 18:58:35,829 autoreload File /Users/karansrinivas/Desktop/ChatBot/BackEnd/env/lib/python3.12/site-packages/django/contrib/contenttypes/models.py first seen with mtime 1728321044.1646216
DEBUG 2024-10-07 18:58:35,829 autoreload File /Users/karansrinivas/Desktop/ChatBot/BackEnd/env/lib/python3.12/site-packages/django/contrib/contenttypes/admin.py first seen with mtime 1728321044.1638308
DEBUG 2024-10-07 18:58:35,829 autoreload File /Users/karansrinivas/Desktop/ChatBot/BackEnd/env/lib/python3.12/site-packages/django/views/i18n.py first seen with mtime 1728321044.6345134
DEBUG 2024-10-07 18:58:35,829 autoreload File /opt/anaconda3/lib/python3.12/email/mime/text.py first seen with mtime 1718723592.3058558
DEBUG 2024-10-07 18:58:35,829 autoreload File /opt/anaconda3/lib/python3.12/email/feedparser.py first seen with mtime 1718723592.165319
DEBUG 2024-10-07 18:58:35,829 autoreload File /opt/anaconda3/lib/python3.12/lib-dynload/_json.cpython-312-darwin.so first seen with mtime 1718723635.1101336
DEBUG 2024-10-07 18:58:35,829 autoreload File /opt/anaconda3/lib/python3.12/lib-dynload/_uuid.cpython-312-darwin.so first seen with mtime 1718723632.3913171
DEBUG 2024-10-07 18:58:35,830 autoreload File /opt/anaconda3/lib/python3.12/wsgiref/__init__.py first seen with mtime 1718723596.1012492
DEBUG 2024-10-07 18:58:35,830 autoreload File /opt/anaconda3/lib/python3.12/zoneinfo/_common.py first seen with mtime 1718723596.4830542
DEBUG 2024-10-07 18:58:35,830 autoreload File /Users/karansrinivas/Desktop/ChatBot/BackEnd/env/lib/python3.12/site-packages/django/urls/exceptions.py first seen with mtime 1728321044.618851
DEBUG 2024-10-07 18:58:35,830 autoreload File /opt/anaconda3/lib/python3.12/lib-dynload/_zoneinfo.cpython-312-darwin.so first seen with mtime 1718723632.8851995
DEBUG 2024-10-07 18:58:35,830 autoreload File /opt/anaconda3/lib/python3.12/ast.py first seen with mtime 1718723590.3678668
DEBUG 2024-10-07 18:58:35,830 autoreload File /Users/karansrinivas/Desktop/ChatBot/BackEnd/env/lib/python3.12/site-packages/django/conf/locale/__init__.py first seen with mtime 1728321043.845213
DEBUG 2024-10-07 18:58:35,830 autoreload File /Users/karansrinivas/Desktop/ChatBot/BackEnd/env/lib/python3.12/site-packages/rest_framework/mixins.py first seen with mtime 1728323231.6092257
DEBUG 2024-10-07 18:58:35,830 autoreload File /Users/karansrinivas/Desktop/ChatBot/BackEnd/env/lib/python3.12/site-packages/django/core/checks/security/base.py first seen with mtime 1728321044.5276058
DEBUG 2024-10-07 18:58:35,830 autoreload File /Users/karansrinivas/Desktop/ChatBot/BackEnd/env/lib/python3.12/site-packages/django/core/servers/__init__.py first seen with mtime 1728321044.551444
DEBUG 2024-10-07 18:58:35,830 autoreload File /Users/karansrinivas/Desktop/ChatBot/BackEnd/env/lib/python3.12/site-packages/django/db/models/query_utils.py first seen with mtime 1728321044.5728939
DEBUG 2024-10-07 18:58:35,830 autoreload File /Users/karansrinivas/Desktop/ChatBot/BackEnd/env/lib/python3.12/site-packages/django/views/__init__.py first seen with mtime 1728321044.6336858
DEBUG 2024-10-07 18:58:35,830 autoreload File /opt/anaconda3/lib/python3.12/html/entities.py first seen with mtime 1718723593.4829528
DEBUG 2024-10-07 18:58:35,830 autoreload File /opt/anaconda3/lib/python3.12/lib-dynload/_sha2.cpython-312-darwin.so first seen with mtime 1718723634.8081958
DEBUG 2024-10-07 18:58:35,830 autoreload File /Users/karansrinivas/Desktop/ChatBot/BackEnd/env/lib/python3.12/site-packages/django/core/management/color.py first seen with mtime 1728321044.5443199
DEBUG 2024-10-07 18:58:35,830 autoreload File /Users/karansrinivas/Desktop/ChatBot/BackEnd/env/lib/python3.12/site-packages/django/db/backends/base/introspection.py first seen with mtime 1728321044.5545123
DEBUG 2024-10-07 18:58:35,830 autoreload File /opt/anaconda3/lib/python3.12/subprocess.py first seen with mtime 1718723591.2723489
DEBUG 2024-10-07 18:58:35,830 autoreload File /Users/karansrinivas/Desktop/ChatBot/BackEnd/env/lib/python3.12/site-packages/django/contrib/admin/helpers.py first seen with mtime 1728321043.9237654
DEBUG 2024-10-07 18:58:35,830 autoreload File /Users/karansrinivas/Desktop/ChatBot/BackEnd/env/lib/python3.12/site-packages/django/contrib/admin/templatetags/base.py first seen with mtime 1728321044.047388
DEBUG 2024-10-07 18:58:35,830 autoreload File /opt/anaconda3/lib/python3.12/inspect.py first seen with mtime 1718723590.775258
DEBUG 2024-10-07 18:58:35,830 autoreload File /opt/anaconda3/lib/python3.12/_compat_pickle.py first seen with mtime 1718723590.1949384
DEBUG 2024-10-07 18:58:35,830 autoreload File /Users/karansrinivas/Desktop/ChatBot/BackEnd/env/lib/python3.12/site-packages/django/contrib/messages/apps.py first seen with mtime 1728321044.3558102
DEBUG 2024-10-07 18:58:35,830 autoreload File /Users/karansrinivas/Desktop/ChatBot/BackEnd/env/lib/python3.12/site-packages/sqlparse/engine/grouping.py first seen with mtime 1728321043.7835088
DEBUG 2024-10-07 18:58:35,830 autoreload File /opt/anaconda3/lib/python3.12/fractions.py first seen with mtime 1718723590.6435153
DEBUG 2024-10-07 18:58:35,830 autoreload File /Users/karansrinivas/Desktop/ChatBot/BackEnd/env/lib/python3.12/site-packages/django/db/backends/base/validation.py first seen with mtime 1728321044.555368
DEBUG 2024-10-07 18:58:35,830 autoreload File /Users/karansrinivas/Desktop/ChatBot/BackEnd/env/lib/python3.12/site-packages/django/utils/http.py first seen with mtime 1728321044.6249707
DEBUG 2024-10-07 18:58:35,830 autoreload File /Users/karansrinivas/Desktop/ChatBot/BackEnd/env/lib/python3.12/site-packages/rest_framework/generics.py first seen with mtime 1728323231.6087885
DEBUG 2024-10-07 18:58:35,830 autoreload File /opt/anaconda3/lib/python3.12/asyncio/events.py first seen with mtime 1718723591.5922856
DEBUG 2024-10-07 18:58:35,830 autoreload File /Users/karansrinivas/Desktop/ChatBot/BackEnd/env/lib/python3.12/site-packages/django/contrib/staticfiles/management/commands/__init__.py first seen with mtime 1728321044.5215464
DEBUG 2024-10-07 18:58:35,830 autoreload File /opt/anaconda3/lib/python3.12/functools.py first seen with mtime 1718723590.659495
DEBUG 2024-10-07 18:58:35,830 autoreload File /opt/anaconda3/lib/python3.12/concurrent/futures/__init__.py first seen with mtime 1718723591.7832835
